d1i,d2i,d1,d2,category
0,0,0.17,0.015,C
0,1,0.17,0.0229,C
0,2,0.17,0.0309,C
0,3,0.17,0.0388,C
0,4,0.17,0.0468,C
0,5,0.17,0.0548,C
0,6,0.17,0.0627,C
0,7,0.17,0.0706,C
0,8,0.17,0.0786,C
0,9,0.17,0.0866,C
0,10,0.17,0.0945,C
0,11,0.17,0.1024,C
0,12,0.17,0.1104,C
0,13,0.17,0.1184,C
0,14,0.17,0.1263,C
0,15,0.17,0.1342,C
1,0,0.2187,0.015,C
1,1,0.2187,0.0229,C
1,2,0.2187,0.0309,C
1,3,0.2187,0.0388,C
1,4,0.2187,0.0468,C
1,5,0.2187,0.0548,C
1,6,0.2187,0.0627,C
1,7,0.2187,0.0706,C
1,8,0.2187,0.0786,A
1,9,0.2187,0.0866,A
1,10,0.2187,0.0945,C
1,11,0.2187,0.1024,C
1,12,0.2187,0.1104,C
1,13,0.2187,0.1184,C
1,14,0.2187,0.1263,C
1,15,0.2187,0.1342,C
2,0,0.2673,0.015,C
2,1,0.2673,0.0229,C
2,2,0.2673,0.0309,C
2,3,0.2673,0.0388,C
2,4,0.2673,0.0468,C
2,5,0.2673,0.0548,C
2,6,0.2673,0.0627,C
2,7,0.2673,0.0706,A
2,8,0.2673,0.0786,A
2,9,0.2673,0.0866,A
2,10,0.2673,0.0945,A
2,11,0.2673,0.1024,A
2,12,0.2673,0.1104,C
2,13,0.2673,0.1184,C
2,14,0.2673,0.1263,C
2,15,0.2673,0.1342,C
3,0,0.316,0.015,C
3,1,0.316,0.0229,C
3,2,0.316,0.0309,C
3,3,0.316,0.0388,C
3,4,0.316,0.0468,C
3,5,0.316,0.0548,C
3,6,0.316,0.0627,A
3,7,0.316,0.0706,A
3,8,0.316,0.0786,A
3,9,0.316,0.0866,A
3,10,0.316,0.0945,A
3,11,0.316,0.1024,A
3,12,0.316,0.1104,A
3,13,0.316,0.1184,C
3,14,0.316,0.1263,C
3,15,0.316,0.1342,C
4,0,0.3647,0.015,C
4,1,0.3647,0.0229,C
4,2,0.3647,0.0309,C
4,3,0.3647,0.0388,C
4,4,0.3647,0.0468,C
4,5,0.3647,0.0548,C
4,6,0.3647,0.0627,A
4,7,0.3647,0.0706,A
4,8,0.3647,0.0786,A
4,9,0.3647,0.0866,A
4,10,0.3647,0.0945,A
4,11,0.3647,0.1024,A
4,12,0.3647,0.1104,A
4,13,0.3647,0.1184,A
4,14,0.3647,0.1263,C
4,15,0.3647,0.1342,C
5,0,0.4133,0.015,C
5,1,0.4133,0.0229,C
5,2,0.4133,0.0309,C
5,3,0.4133,0.0388,C
5,4,0.4133,0.0468,C
5,5,0.4133,0.0548,C
5,6,0.4133,0.0627,C
5,7,0.4133,0.0706,A
5,8,0.4133,0.0786,A
5,9,0.4133,0.0866,A
5,10,0.4133,0.0945,A
5,11,0.4133,0.1024,A
5,12,0.4133,0.1104,A
5,13,0.4133,0.1184,A
5,14,0.4133,0.1263,C
5,15,0.4133,0.1342,C
6,0,0.462,0.015,C
6,1,0.462,0.0229,C
6,2,0.462,0.0309,C
6,3,0.462,0.0388,B
6,4,0.462,0.0468,B
6,5,0.462,0.0548,C
6,6,0.462,0.0627,C
6,7,0.462,0.0706,A
6,8,0.462,0.0786,A
6,9,0.462,0.0866,A
6,10,0.462,0.0945,A
6,11,0.462,0.1024,A
6,12,0.462,0.1104,A
6,13,0.462,0.1184,A
6,14,0.462,0.1263,A
6,15,0.462,0.1342,C
7,0,0.5107,0.015,C
7,1,0.5107,0.0229,C
7,2,0.5107,0.0309,B
7,3,0.5107,0.0388,B
