n_categories,session,trial_id,x1_true,x2_true,x1_response,x2_response,rt,Sex,participant_id,stim_id
1,1,0,46,64,57,66,3610,Male,c9a8ce1f5cccf9534266c706b538c6ca,47
1,1,1,46,73,54,60,4588,Male,c9a8ce1f5cccf9534266c706b538c6ca,48
1,1,2,19,10,19,15,7308,Male,c9a8ce1f5cccf9534266c706b538c6ca,11
1,1,3,82,10,86,29,4594,Male,c9a8ce1f5cccf9534266c706b538c6ca,81
1,1,4,82,91,55,95,4511,Male,c9a8ce1f5cccf9534266c706b538c6ca,90
1,1,5,37,91,50,100,3619,Male,c9a8ce1f5cccf9534266c706b538c6ca,40
1,1,6,82,37,71,50,3444,Male,c9a8ce1f5cccf9534266c706b538c6ca,84
1,1,7,19,28,12,92,5958,Male,c9a8ce1f5cccf9534266c706b538c6ca,13
1,1,8,91,46,98,41,5031,Male,c9a8ce1f5cccf9534266c706b538c6ca,95
1,1,9,91,37,96,29,6041,Male,c9a8ce1f5cccf9534266c706b538c6ca,94
1,1,10,46,55,54,69,4910,Male,c9a8ce1f5cccf9534266c706b538c6ca,46
1,1,11,28,82,24,71,5320,Male,c9a8ce1f5cccf9534266c706b538c6ca,29
1,1,12,91,82,88,89,8677,Male,c9a8ce1f5cccf9534266c706b538c6ca,99
1,1,13,55,37,77,32,4752,Male,c9a8ce1f5cccf9534266c706b538c6ca,54
1,1,14,19,19,16,24,4849,Male,c9a8ce1f5cccf9534266c706b538c6ca,12
1,1,15,28,91,20,91,3744,Male,c9a8ce1f5cccf9534266c706b538c6ca,30
1,1,16,64,46,42,32,11529,Male,c9a8ce1f5cccf9534266c706b538c6ca,65
1,1,17,37,82,36,80,4404,Male,c9a8ce1f5cccf9534266c706b538c6ca,39
1,1,18,64,37,50,44,2676,Male,c9a8ce1f5cccf9534266c706b538c6ca,64
1,1,19,37,10,50,10,3561,Male,c9a8ce1f5cccf9534266c706b538c6ca,31
1,1,20,55,82,29,84,5108,Male,c9a8ce1f5cccf9534266c706b538c6ca,59
1,1,21,82,28,23,32,5162,Male,c9a8ce1f5cccf9534266c706b538c6ca,83
1,1,22,28,73,30,82,3772,Male,c9a8ce1f5cccf9534266c706b538c6ca,28
1,1,23,55,73,50,81,4196,Male,c9a8ce1f5cccf9534266c706b538c6ca,58
1,1,24,55,91,50,72,3948,Male,c9a8ce1f5cccf9534266c706b538c6ca,60
1,1,25,64,64,75,61,5520,Male,c9a8ce1f5cccf9534266c706b538c6ca,67
1,1,26,55,55,66,55,4408,Male,c9a8ce1f5cccf9534266c706b538c6ca,56
1,1,27,28,46,29,39,3621,Male,c9a8ce1f5cccf9534266c706b538c6ca,25
1,1,28,10,46,19,32,5801,Male,c9a8ce1f5cccf9534266c706b538c6ca,5
1,1,29,37,64,50,50,3298,Male,c9a8ce1f5cccf9534266c706b538c6ca,37
1,1,30,82,82,91,87,4820,Male,c9a8ce1f5cccf9534266c706b538c6ca,89
1,1,31,91,73,90,79,4106,Male,c9a8ce1f5cccf9534266c706b538c6ca,98
1,1,32,64,55,68,67,4194,Male,c9a8ce1f5cccf9534266c706b538c6ca,66
1,1,33,73,64,77,67,3031,Male,c9a8ce1f5cccf9534266c706b538c6ca,77
1,1,34,37,28,50,28,6423,Male,c9a8ce1f5cccf9534266c706b538c6ca,33
1,1,35,10,10,18,19,3786,Male,c9a8ce1f5cccf9534266c706b538c6ca,1
1,1,36,82,19,75,17,5718,Male,c9a8ce1f5cccf9534266c706b538c6ca,82
1,1,37,91,19,88,19,3329,Male,c9a8ce1f5cccf9534266c706b538c6ca,92
1,1,38,91,55,72,74,5672,Male,c9a8ce1f5cccf9534266c706b538c6ca,96
1,1,39,37,73,22,65,4281,Male,c9a8ce1f5cccf9534266c706b538c6ca,38
1,1,40,64,82,41,79,3747,Male,c9a8ce1f5cccf9534266c706b538c6ca,69
1,1,41,73,55,71,31,3604,Male,c9a8ce1f5cccf9534266c706b538c6ca,76
1,1,42,55,19,54,50,8745,Male,c9a8ce1f5cccf9534266c706b538c6ca,52
1,1,43,19,55,22,58,3550,Male,c9a8ce1f5cccf9534266c706b538c6ca,16
1,1,44,73,82,38,50,3715,Male,c9a8ce1f5cccf9534266c706b538c6ca,79
1,1,45,55,46,50,50,1610,Male,c9a8ce1f5cccf9534266c706b538c6ca,55
1,1,46,64,73,68,70,4250,Male,c9a8ce1f5cccf9534266c706b538c6ca,68
1,1,47,28,64,62,30,10115,Male,c9a8ce1f5cccf9534266c706b538c6ca,27
1,1,48,19,37,20,36,4388,Male,c9a8ce1f5cccf9534266c706b538c6ca,14
1,1,49,10,82,14,78,4788,Male,c9a8ce1f5cccf9534266c706b538c6ca,9
1,1,50,64,91,50,91,4368,Male,c9a8ce1f5cccf9534266c706b538c6ca,70
1,1,51,28,37,37,23,4835,Male,c9a8ce1f5cccf9534266c706b538c6ca,24
1,1,52,28,55,26,65,4970,Male,c9a8ce1f5cccf9534266c706b538c6ca,26
1,1,53,55,64,23,50,3286,Male,c9a8ce1f5cccf9534266c706b538c6ca,57
1,1,54,19,46,17,38,3452,Male,c9a8ce1f5cccf9534266c706b538c6ca,15
1,1,55,64,28,50,50,3206,Male,c9a8ce1f5cccf9534266c706b538c6ca,63
1,1,56,46,91,50,92,3342,Male,c9a8ce1f5cccf9534266c706b538c6ca,50
1,1,57,91,28,90,26,3264,Male,c9a8ce1f5cccf9534266c706b538c6ca,93
1,1,58,64,19,65,24,4214,Male,c9a8ce1f5cccf9534266c706b538c6ca,62
1,1,59,46,46,50,35,3346,Male,c9a8ce1f5cccf9534266c706b538c6ca,45
1,1,60,10,91,16,69,5869,Male,c9a8ce1f5cccf9534266c706b538c6ca,10
1,1,61,91,64,88,29,3638,Male,c9a8ce1f5cccf9534266c706b538c6ca,97
