n_categories,session,trial_id,x1_true,x2_true,x1_response,x2_response,x1_start,x2_start,rt,Sex,participant_id,stim_id
4,1,0,91,64,83,75,27,50,4931,Male,ef1f80fc1e2fff621a6df71da886514a,97
4,1,1,73,46,77,61,25,47,4407,Male,ef1f80fc1e2fff621a6df71da886514a,75
4,1,2,37,64,18,41,32,20,6421,Male,ef1f80fc1e2fff621a6df71da886514a,37
4,1,3,19,64,18,69,13,82,10223,Male,ef1f80fc1e2fff621a6df71da886514a,17
4,1,4,10,73,12,65,31,32,9163,Male,ef1f80fc1e2fff621a6df71da886514a,8
4,1,5,91,91,95,88,98,75,4748,Male,ef1f80fc1e2fff621a6df71da886514a,100
4,1,6,91,82,88,88,36,85,5980,Male,ef1f80fc1e2fff621a6df71da886514a,99
4,1,7,10,10,12,13,83,12,5644,Male,ef1f80fc1e2fff621a6df71da886514a,1
4,1,8,55,82,89,89,89,71,5277,Male,ef1f80fc1e2fff621a6df71da886514a,59
4,1,9,37,10,30,30,59,30,5134,Male,ef1f80fc1e2fff621a6df71da886514a,31
4,1,10,82,82,81,81,81,27,3846,Male,ef1f80fc1e2fff621a6df71da886514a,89
4,1,11,91,28,55,55,55,7,4637,Male,ef1f80fc1e2fff621a6df71da886514a,93
4,1,12,64,37,48,48,16,19,6785,Male,ef1f80fc1e2fff621a6df71da886514a,64
4,1,13,91,10,18,18,18,85,4120,Male,ef1f80fc1e2fff621a6df71da886514a,91
4,1,14,64,46,80,80,16,90,7225,Male,ef1f80fc1e2fff621a6df71da886514a,65
4,1,15,10,64,29,75,44,74,6265,Male,ef1f80fc1e2fff621a6df71da886514a,7
4,1,16,64,73,57,68,50,26,4870,Male,ef1f80fc1e2fff621a6df71da886514a,68
4,1,17,10,46,8,18,86,6,6722,Male,ef1f80fc1e2fff621a6df71da886514a,5
4,1,18,37,28,29,26,51,26,4016,Male,ef1f80fc1e2fff621a6df71da886514a,33
4,1,19,10,37,17,10,25,4,4735,Male,ef1f80fc1e2fff621a6df71da886514a,4
4,1,20,46,37,74,74,18,74,3172,Male,ef1f80fc1e2fff621a6df71da886514a,44
4,1,21,82,10,76,17,61,46,4851,Male,ef1f80fc1e2fff621a6df71da886514a,81
4,1,22,73,82,79,77,4,77,4803,Male,ef1f80fc1e2fff621a6df71da886514a,79
4,1,23,91,37,27,17,39,17,4260,Male,ef1f80fc1e2fff621a6df71da886514a,94
4,1,24,28,73,32,70,17,63,5774,Male,ef1f80fc1e2fff621a6df71da886514a,28
4,1,25,28,91,26,89,37,62,5294,Male,ef1f80fc1e2fff621a6df71da886514a,30
4,1,26,82,91,94,92,94,59,4848,Male,ef1f80fc1e2fff621a6df71da886514a,90
4,1,27,37,82,44,84,28,62,4249,Male,ef1f80fc1e2fff621a6df71da886514a,39
4,1,28,91,19,76,13,41,17,5554,Male,ef1f80fc1e2fff621a6df71da886514a,92
4,1,29,19,37,35,39,20,23,4489,Male,ef1f80fc1e2fff621a6df71da886514a,14
4,1,30,46,91,53,80,80,24,4111,Male,ef1f80fc1e2fff621a6df71da886514a,50
4,1,31,28,55,47,52,75,25,4389,Male,ef1f80fc1e2fff621a6df71da886514a,26
4,1,32,28,28,41,41,41,80,3457,Male,ef1f80fc1e2fff621a6df71da886514a,23
4,1,33,64,19,60,27,58,29,4117,Male,ef1f80fc1e2fff621a6df71da886514a,62
4,1,34,91,55,72,32,16,80,5626,Male,ef1f80fc1e2fff621a6df71da886514a,96
4,1,35,37,55,54,57,66,64,4759,Male,ef1f80fc1e2fff621a6df71da886514a,36
4,1,36,82,55,80,52,64,77,4717,Male,ef1f80fc1e2fff621a6df71da886514a,86
4,1,37,82,19,94,20,67,99,5891,Male,ef1f80fc1e2fff621a6df71da886514a,82
4,1,38,10,82,6,88,24,71,5832,Male,ef1f80fc1e2fff621a6df71da886514a,9
4,1,39,55,19,73,12,53,78,3674,Male,ef1f80fc1e2fff621a6df71da886514a,52
4,1,40,28,37,39,56,36,70,3771,Male,ef1f80fc1e2fff621a6df71da886514a,24
4,1,41,28,82,30,81,42,36,4356,Male,ef1f80fc1e2fff621a6df71da886514a,29
4,1,42,19,73,26,85,39,83,3345,Male,ef1f80fc1e2fff621a6df71da886514a,18
4,1,43,82,37,81,28,64,27,6099,Male,ef1f80fc1e2fff621a6df71da886514a,84
4,1,44,37,73,52,71,32,83,3911,Male,ef1f80fc1e2fff621a6df71da886514a,38
4,1,45,64,64,54,52,90,34,4776,Male,ef1f80fc1e2fff621a6df71da886514a,67
4,1,46,37,91,32,91,22,14,5540,Male,ef1f80fc1e2fff621a6df71da886514a,40
4,1,47,55,28,70,14,96,70,5445,Male,ef1f80fc1e2fff621a6df71da886514a,53
4,1,48,82,46,66,24,60,75,5068,Male,ef1f80fc1e2fff621a6df71da886514a,85
4,1,49,64,55,62,35,7,94,5120,Male,ef1f80fc1e2fff621a6df71da886514a,66
4,1,50,73,10,79,6,12,6,3370,Male,ef1f80fc1e2fff621a6df71da886514a,71
4,1,51,73,19,84,16,84,50,2914,Male,ef1f80fc1e2fff621a6df71da886514a,72
4,1,52,10,19,20,20,81,79,9658,Male,ef1f80fc1e2fff621a6df71da886514a,2
4,1,53,19,28,30,27,40,52,4746,Male,ef1f80fc1e2fff621a6df71da886514a,13
4,1,54,73,55,77,72,58,47,3591,Male,ef1f80fc1e2fff621a6df71da886514a,76
4,1,55,82,28,70,50,30,50,2997,Male,ef1f80fc1e2fff621a6df71da886514a,83
4,1,56,28,46,41,48,41,91,2877,Male,ef1f80fc1e2fff621a6df71da886514a,25
4,1,57,19,19,16,22,16,16,3837,Male,ef1f80fc1e2fff621a6df71da886514a,12
4,1,58,46,28,75,56,60,66,3843,Male,ef1f80fc1e2fff621a6df71da886514a,43
4,1,59,55,64,66,75,83,56,3722,Male,ef1f80fc1e2fff621a6df71da886514a,57
4,1,60,10,91,30,94,51,39,8985,Male,ef1f80fc1e2fff621a6df71da886514a,10
4,1,61,37,37,30,38,85,31,4756,Male,ef1f80fc1e2fff621a6df71da886514a,34
4,1,62,64,10,34,23,40,34,3472,Male,ef1f80fc1e2fff621a6df71da886514a,61
4,1,63,64,28,46,31,3,100,4597,Male,ef1f80fc1e2fff621a6df71da886514a,63
4,1,64,55,10,48,24,23,84,4783,Male,ef1f80fc1e2fff621a6df71da886514a,51
4,1,65,64,82,68,83,68,32,3786,Male,ef1f80fc1e2fff621a6df71da886514a,69
4,1,66,37,19,65,26,78,35,3587,Male,ef1f80fc1e2fff621a6df71da886514a,32
4,1,67,46,46,44,30,51,14,5494,Male,ef1f80fc1e2fff621a6df71da886514a,45
4,1,68,46,82,68,70,11,93,14695,Male,ef1f80fc1e2fff621a6df71da886514a,49
4,1,69,19,82,22,73,54,48,4089,Male,ef1f80fc1e2fff621a6df71da886514a,19
4,1,70,82,73,72,48,6,3,4284,Male,ef1f80fc1e2fff621a6df71da886514a,88
4,1,71,10,28,72,45,99,14,4366,Male,ef1f80fc1e2fff621a6df71da886514a,3
4,1,72,73,64,77,54,87,38,3977,Male,ef1f80fc1e2fff621a6df71da886514a,77
4,1,73,64,91,56,52,55,39,3457,Male,ef1f80fc1e2fff621a6df71da886514a,70
4,1,74,55,46,63,49,30,50,4999,Male,ef1f80fc1e2fff621a6df71da886514a,55
4,1,75,19,46,31,55,71,100,18550,Male,ef1f80fc1e2fff621a6df71da886514a,15
4,1,76,19,10,24,14,1,6,5605,Male,ef1f80fc1e2fff621a6df71da886514a,11
4,1,77,73,73,72,78,1,64,5386,Male,ef1f80fc1e2fff621a6df71da886514a,78
