n_categories,session,trial_id,stim_id_l,x1_true_l,x2_true_l,stim_id_r,x1_true_r,x2_true_r,d_euclidean,response,rt,Sex,participant_id,comparison_pool,pool_left,pool_right
4,1,0,68,64,73,72,73,19,54.74,4,8107,Female,3c3c9a3ce6de665299db0c86b111fcca,side,4,3
4,1,1,51,55,10,65,64,46,37.11,4,8447,Female,3c3c9a3ce6de665299db0c86b111fcca,same,3,3
4,1,2,87,82,64,63,64,28,40.25,3,3018,Female,3c3c9a3ce6de665299db0c86b111fcca,side,4,3
4,1,3,1,10,10,26,28,55,48.47,5,4384,Female,3c3c9a3ce6de665299db0c86b111fcca,side,1,2
4,1,4,51,55,10,85,82,46,45,5,2481,Female,3c3c9a3ce6de665299db0c86b111fcca,same,3,3
4,1,5,51,55,10,74,73,37,32.45,4,2792,Female,3c3c9a3ce6de665299db0c86b111fcca,same,3,3
4,1,6,75,73,46,33,37,28,40.25,5,5074,Female,3c3c9a3ce6de665299db0c86b111fcca,side,3,1
4,1,7,58,55,73,66,64,55,20.12,6,3014,Female,3c3c9a3ce6de665299db0c86b111fcca,same,4,4
4,1,8,100,91,91,40,37,91,54,7,3057,Female,3c3c9a3ce6de665299db0c86b111fcca,side,4,2
4,1,9,11,19,10,87,82,64,82.98,8,6404,Female,3c3c9a3ce6de665299db0c86b111fcca,cross,1,4
4,1,10,74,73,37,63,64,28,12.73,2,4176,Female,3c3c9a3ce6de665299db0c86b111fcca,same,3,3
4,1,11,10,10,91,63,64,28,82.98,8,3048,Female,3c3c9a3ce6de665299db0c86b111fcca,cross,2,3
4,1,12,76,73,55,61,64,10,45.89,7,12256,Female,3c3c9a3ce6de665299db0c86b111fcca,side,4,3
4,1,13,33,37,28,92,91,19,54.74,6,6061,Female,3c3c9a3ce6de665299db0c86b111fcca,side,1,3
4,1,14,10,10,91,77,73,64,68.54,7,8724,Female,3c3c9a3ce6de665299db0c86b111fcca,side,2,4
4,1,15,27,28,64,2,10,19,48.47,7,6959,Female,3c3c9a3ce6de665299db0c86b111fcca,side,2,1
4,1,16,52,55,19,72,73,19,18,3,4383,Female,3c3c9a3ce6de665299db0c86b111fcca,same,3,3
4,1,17,49,46,82,66,64,55,32.45,4,5249,Female,3c3c9a3ce6de665299db0c86b111fcca,side,2,4
4,1,18,39,37,82,28,28,73,12.73,4,6572,Female,3c3c9a3ce6de665299db0c86b111fcca,same,2,2
4,1,19,98,91,73,71,73,10,65.52,6,6384,Female,3c3c9a3ce6de665299db0c86b111fcca,side,4,3
4,1,20,20,19,91,18,19,73,18,2,9135,Female,3c3c9a3ce6de665299db0c86b111fcca,same,2,2
4,1,21,38,37,73,65,64,46,38.18,5,8466,Female,3c3c9a3ce6de665299db0c86b111fcca,cross,2,3
4,1,22,70,64,91,100,91,91,27,3,6843,Female,3c3c9a3ce6de665299db0c86b111fcca,same,4,4
4,1,23,19,19,82,36,37,55,32.45,3,4749,Female,3c3c9a3ce6de665299db0c86b111fcca,same,2,2
4,1,24,15,19,46,41,46,10,45,6,7408,Female,3c3c9a3ce6de665299db0c86b111fcca,same,1,1
4,1,25,62,64,19,52,55,19,9,2,7009,Female,3c3c9a3ce6de665299db0c86b111fcca,same,3,3
4,1,26,51,55,10,69,64,82,72.56,6,5489,Female,3c3c9a3ce6de665299db0c86b111fcca,side,3,4
4,1,27,93,91,28,14,19,37,72.56,7,6523,Female,3c3c9a3ce6de665299db0c86b111fcca,side,3,1
4,1,28,27,28,64,64,64,37,45,6,6237,Female,3c3c9a3ce6de665299db0c86b111fcca,cross,2,3
4,1,29,72,73,19,16,19,55,64.9,7,12764,Female,3c3c9a3ce6de665299db0c86b111fcca,cross,3,2
4,1,30,28,28,73,81,82,10,82.98,8,10198,Female,3c3c9a3ce6de665299db0c86b111fcca,cross,2,3
4,1,31,91,91,10,4,10,37,85.38,7,3810,Female,3c3c9a3ce6de665299db0c86b111fcca,side,3,1
4,1,32,64,64,37,97,91,64,38.18,6,7426,Female,3c3c9a3ce6de665299db0c86b111fcca,side,3,4
4,1,33,57,55,64,24,28,37,38.18,4,5570,Female,3c3c9a3ce6de665299db0c86b111fcca,cross,4,1
4,1,34,20,19,91,15,19,46,45,2,5550,Female,3c3c9a3ce6de665299db0c86b111fcca,side,2,1
4,1,35,59,55,82,50,46,91,12.73,4,5340,Female,3c3c9a3ce6de665299db0c86b111fcca,side,4,2
4,1,36,26,28,55,29,28,82,27,4,3033,Female,3c3c9a3ce6de665299db0c86b111fcca,same,2,2
4,1,37,52,55,19,32,37,19,18,2,3295,Female,3c3c9a3ce6de665299db0c86b111fcca,side,3,1
4,1,38,47,46,64,89,82,82,40.25,6,45719,Female,3c3c9a3ce6de665299db0c86b111fcca,side,2,4
4,1,39,24,28,37,2,10,19,25.46,6,5480,Female,3c3c9a3ce6de665299db0c86b111fcca,same,1,1
4,1,40,64,64,37,24,28,37,36,6,3847,Female,3c3c9a3ce6de665299db0c86b111fcca,side,3,1
4,1,41,11,19,10,19,19,82,72,4,8549,Female,3c3c9a3ce6de665299db0c86b111fcca,side,1,2
4,1,42,40,37,91,34,37,37,54,6,9631,Female,3c3c9a3ce6de665299db0c86b111fcca,side,2,1
4,1,43,53,55,28,92,91,19,37.11,4,7757,Female,3c3c9a3ce6de665299db0c86b111fcca,same,3,3
4,1,44,33,37,28,41,46,10,20.12,7,6394,Female,3c3c9a3ce6de665299db0c86b111fcca,same,1,1
4,1,45,63,64,28,81,82,10,25.46,6,3238,Female,3c3c9a3ce6de665299db0c86b111fcca,same,3,3
4,1,46,62,64,19,15,19,46,52.48,3,3895,Female,3c3c9a3ce6de665299db0c86b111fcca,side,3,1
4,1,47,72,73,19,8,10,73,82.98,1,2430,Female,3c3c9a3ce6de665299db0c86b111fcca,cross,3,2
4,1,48,77,73,64,41,46,10,60.37,4,7225,Female,3c3c9a3ce6de665299db0c86b111fcca,cross,4,1
4,1,49,60,55,91,75,73,46,48.47,7,4159,Female,3c3c9a3ce6de665299db0c86b111fcca,side,4,3
4,1,50,95,91,46,96,91,55,9,8,4474,Female,3c3c9a3ce6de665299db0c86b111fcca,side,3,4
4,1,51,12,19,19,71,73,10,54.74,6,5840,Female,3c3c9a3ce6de665299db0c86b111fcca,side,1,3
4,1,52,29,28,82,1,10,10,74.22,3,4197,Female,3c3c9a3ce6de665299db0c86b111fcca,side,2,1
4,1,53,100,91,91,16,19,55,80.5,2,2736,Female,3c3c9a3ce6de665299db0c86b111fcca,side,4,2
4,1,54,14,19,37,96,91,55,74.22,3,3830,Female,3c3c9a3ce6de665299db0c86b111fcca,cross,1,4
4,1,55,45,46,46,95,91,46,45,4,9244,Female,3c3c9a3ce6de665299db0c86b111fcca,side,1,3
