n_categories,session,trial_id,stim_id_l,x1_true_l,x2_true_l,stim_id_r,x1_true_r,x2_true_r,d_euclidean,response,rt,Sex,participant_id,comparison_pool,pool_left,pool_right
1,1,0,7,10,64,47,46,64,36,1,12115,Female,186e3b19d985e2ce813010ff317d4126,same,2,2
1,1,1,11,19,10,68,64,73,77.42,1,4228,Female,186e3b19d985e2ce813010ff317d4126,cross,1,4
1,1,2,95,91,46,65,64,46,27,4,10901,Female,186e3b19d985e2ce813010ff317d4126,same,3,3
1,1,3,55,55,46,33,37,28,25.46,3,9873,Female,186e3b19d985e2ce813010ff317d4126,side,3,1
1,1,4,60,55,91,71,73,10,82.98,2,22984,Female,186e3b19d985e2ce813010ff317d4126,side,4,3
1,1,5,34,37,37,50,46,91,54.74,2,4033,Female,186e3b19d985e2ce813010ff317d4126,side,1,2
1,1,6,95,91,46,99,91,82,36,5,11089,Female,186e3b19d985e2ce813010ff317d4126,side,3,4
1,1,7,62,64,19,52,55,19,9,7,9379,Female,186e3b19d985e2ce813010ff317d4126,same,3,3
1,1,8,83,82,28,55,55,46,32.45,3,16667,Female,186e3b19d985e2ce813010ff317d4126,same,3,3
1,1,9,32,37,19,43,46,28,12.73,7,7084,Female,186e3b19d985e2ce813010ff317d4126,same,1,1
1,1,10,59,55,82,26,28,55,38.18,2,13288,Female,186e3b19d985e2ce813010ff317d4126,side,4,2
1,1,11,51,55,10,49,46,82,72.56,7,14929,Female,186e3b19d985e2ce813010ff317d4126,cross,3,2
1,1,12,52,55,19,55,55,46,27,7,20833,Female,186e3b19d985e2ce813010ff317d4126,same,3,3
1,1,13,87,82,64,19,19,82,65.52,2,11319,Female,186e3b19d985e2ce813010ff317d4126,side,4,2
1,1,14,15,19,46,13,19,28,18,7,4901,Female,186e3b19d985e2ce813010ff317d4126,same,1,1
1,1,15,78,73,73,81,82,10,63.64,7,5344,Female,186e3b19d985e2ce813010ff317d4126,side,4,3
1,1,16,42,46,19,97,91,64,63.64,1,7278,Female,186e3b19d985e2ce813010ff317d4126,cross,1,4
1,1,17,51,55,10,83,82,28,32.45,2,4617,Female,186e3b19d985e2ce813010ff317d4126,same,3,3
1,1,18,96,91,55,68,64,73,32.45,3,5839,Female,186e3b19d985e2ce813010ff317d4126,same,4,4
1,1,19,5,10,46,95,91,46,81,1,2339,Female,186e3b19d985e2ce813010ff317d4126,side,1,3
1,1,20,92,91,19,94,91,37,18,7,3049,Female,186e3b19d985e2ce813010ff317d4126,same,3,3
1,1,21,85,82,46,98,91,73,28.46,7,2416,Female,186e3b19d985e2ce813010ff317d4126,side,3,4
1,1,22,29,28,82,6,10,55,32.45,7,3027,Female,186e3b19d985e2ce813010ff317d4126,same,2,2
1,1,23,57,55,64,89,82,82,32.45,7,3374,Female,186e3b19d985e2ce813010ff317d4126,same,4,4
1,1,24,70,64,91,41,46,10,82.98,6,2666,Female,186e3b19d985e2ce813010ff317d4126,cross,4,1
1,1,25,49,46,82,56,55,55,28.46,7,2139,Female,186e3b19d985e2ce813010ff317d4126,side,2,4
1,1,26,84,82,37,79,73,82,45.89,7,2050,Female,186e3b19d985e2ce813010ff317d4126,side,3,4
1,1,27,100,91,91,65,64,46,52.48,7,5757,Female,186e3b19d985e2ce813010ff317d4126,side,4,3
1,1,28,14,19,37,42,46,19,32.45,6,4634,Female,186e3b19d985e2ce813010ff317d4126,same,1,1
1,1,29,44,46,37,86,82,55,40.25,2,13309,Female,186e3b19d985e2ce813010ff317d4126,cross,1,4
1,1,30,77,73,64,35,37,46,40.25,3,4512,Female,186e3b19d985e2ce813010ff317d4126,cross,4,1
1,1,31,89,82,82,84,82,37,45,7,2828,Female,186e3b19d985e2ce813010ff317d4126,side,4,3
1,1,32,69,64,82,79,73,82,9,8,1897,Female,186e3b19d985e2ce813010ff317d4126,same,4,4
